school id,deliveries,Dr number,date
116104,C1 LOT 6  KS2 G4toG6 ,13039,
116128,C1 LOT 6  KS2 G4toG6 ,13041,
116137,C1 LOT 6  KS2 G4toG6 ,13043,
116141,C1 LOT 6  KS2 G4toG6 ,13045,
116147,C1 LOT 6  KS2 G4toG6 ,13048,
116152,C1 LOT 6  KS2 G4toG6 ,13049,
116153,C1 LOT 6  KS2 G4toG6 ,13051,
116154,C1 LOT 6  KS2 G4toG6 ,13053,
116157,C1 LOT 6  KS2 G4toG6 ,13070,
116159,C1 LOT 6  KS2 G4toG6 ,13073,
116161,C1 LOT 6  KS2 G4toG6 ,13077,
116162,C1 LOT 6  KS2 G4toG6 ,13078,
116173,C1 LOT 6  KS2 G4toG6 ,13079,
116178,C1 LOT 6  KS2 G4toG6 ,13081,
116179,C1 LOT 6  KS2 G4toG6 ,13083,
116186,C1 LOT 6  KS2 G4toG6 ,13085,
116189,C1 LOT 6  KS2 G4toG6 ,13086,
116195,C1 LOT 6  KS2 G4toG6 ,13088,
116196,C1 LOT 6  KS2 G4toG6 ,13090,
116199,C1 LOT 6  KS2 G4toG6 ,13091,
116203,C1 LOT 6  KS2 G4toG6 ,13093,
116206,C1 LOT 6  KS2 G4toG6 ,13096,
116207,C1 LOT 6  KS2 G4toG6 ,13098,
116208,C1 LOT 6  KS2 G4toG6 ,13100,
116210,C1 LOT 6  KS2 G4toG6 ,13102,
116213,C1 LOT 6  KS2 G4toG6 ,13104,
116214,C1 LOT 6  KS2 G4toG6 ,13105,
116215,C1 LOT 6  KS2 G4toG6 ,13106,
116224,C1 LOT 6  KS2 G4toG6 ,13107,
116232,C1 LOT 6  KS2 G4toG6 ,13108,
116241,C1 LOT 6  KS2 G4toG6 ,13109,
116248,C1 LOT 6  KS2 G4toG6 ,13110,
116252,C1 LOT 6  KS2 G4toG6 ,13111,
116263,C1 LOT 6  KS2 G4toG6 ,13112,
116265,C1 LOT 6  KS2 G4toG6 ,13113,
116266,C1 LOT 6  KS2 G4toG6 ,13114,
116267,C1 LOT 6  KS2 G4toG6 ,13115,
116271,C1 LOT 6  KS2 G4toG6 ,13116,
116274,C1 LOT 6  KS2 G4toG6 ,13117,
116275,C1 LOT 6  KS2 G4toG6 ,13118,
116277,C1 LOT 6  KS2 G4toG6 ,13119,
116282,C1 LOT 6  KS2 G4toG6 ,13120,
116283,C1 LOT 6  KS2 G4toG6 ,13121,
116284,C1 LOT 6  KS2 G4toG6 ,13122,
116287,C1 LOT 6  KS2 G4toG6 ,13123,
116288,C1 LOT 6  KS2 G4toG6 ,13124,
116290,C1 LOT 6  KS2 G4toG6 ,13125,
116305,C1 LOT 6  KS2 G4toG6 ,13126,
116308,C1 LOT 6  KS2 G4toG6 ,13127,
116310,C1 LOT 6  KS2 G4toG6 ,13128,
116316,C1 LOT 6  KS2 G4toG6 ,13129,
116322,C1 LOT 6  KS2 G4toG6 ,13130,
116324,C1 LOT 6  KS2 G4toG6 ,13131,
116325,C1 LOT 6  KS2 G4toG6 ,13132,
116326,C1 LOT 6  KS2 G4toG6 ,13133,
116327,C1 LOT 6  KS2 G4toG6 ,13134,
116328,C1 LOT 6  KS2 G4toG6 ,13135,
116329,C1 LOT 6  KS2 G4toG6 ,13136,
116330,C1 LOT 6  KS2 G4toG6 ,13137,
116335,C1 LOT 6  KS2 G4toG6 ,13138,
116336,C1 LOT 6  KS2 G4toG6 ,13140,
116339,C1 LOT 6  KS2 G4toG6 ,13141,
116341,C1 LOT 6  KS2 G4toG6 ,13142,
116343,C1 LOT 6  KS2 G4toG6 ,13144,
116345,C1 LOT 6  KS2 G4toG6 ,13146,
116346,C1 LOT 6  KS2 G4toG6 ,13147,
116348,C1 LOT 6  KS2 G4toG6 ,13148,
116355,C1 LOT 6  KS2 G4toG6 ,13149,
116365,C1 LOT 6  KS2 G4toG6 ,13150,
116366,C1 LOT 6  KS2 G4toG6 ,13151,
116378,C1 LOT 6  KS2 G4toG6 ,13155,
116379,C1 LOT 6  KS2 G4toG6 ,13156,
116384,C1 LOT 6  KS2 G4toG6 ,13157,
116386,C1 LOT 6  KS2 G4toG6 ,13158,
116391,C1 LOT 6  KS2 G4toG6 ,13160,
116393,C1 LOT 6  KS2 G4toG6 ,13161,
116399,C1 LOT 6  KS2 G4toG6 ,13162,
116400,C1 LOT 6  KS2 G4toG6 ,13163,
116405,C1 LOT 6  KS2 G4toG6 ,13164,
116412,C1 LOT 6  KS2 G4toG6 ,13165,
116416,C1 LOT 6  KS2 G4toG6 ,13166,
116417,C1 LOT 6  KS2 G4toG6 ,13167,
116424,C1 LOT 6  KS2 G4toG6 ,13168,
116429,C1 LOT 6  KS2 G4toG6 ,13169,
116440,C1 LOT 6  KS2 G4toG6 ,13171,
116457,C1 LOT 6  KS2 G4toG6 ,13173,
116461,C1 LOT 6  KS2 G4toG6 ,13174,
116464,C1 LOT 6  KS2 G4toG6 ,13175,
116468,C1 LOT 6  KS2 G4toG6 ,13177,
116469,C1 LOT 6  KS2 G4toG6 ,13179,
116470,C1 LOT 6  KS2 G4toG6 ,13182,
116472,C1 LOT 6  KS2 G4toG6 ,13184,
116473,C1 LOT 6  KS2 G4toG6 ,13187,
116474,C1 LOT 6  KS2 G4toG6 ,13189,
116475,C1 LOT 6  KS2 G4toG6 ,13190,
116476,C1 LOT 6  KS2 G4toG6 ,13192,
116478,C1 LOT 6  KS2 G4toG6 ,13194,
116479,C1 LOT 6  KS2 G4toG6 ,13196,
116484,C1 LOT 6  KS2 G4toG6 ,13199,
116489,C1 LOT 6  KS2 G4toG6 ,13200,
116503,C1 LOT 6  KS2 G4toG6 ,13201,
116507,C1 LOT 6  KS2 G4toG6 ,13203,
116508,C1 LOT 6  KS2 G4toG6 ,13204,
116512,C1 LOT 6  KS2 G4toG6 ,13205,
116514,C1 LOT 6  KS2 G4toG6 ,13206,
116516,C1 LOT 6  KS2 G4toG6 ,13208,
116519,C1 LOT 6  KS2 G4toG6 ,13209,
116525,C1 LOT 6  KS2 G4toG6 ,13210,
116539,C1 LOT 6  KS2 G4toG6 ,13211,
116540,C1 LOT 6  KS2 G4toG6 ,13212,
116549,C1 LOT 6  KS2 G4toG6 ,13213,
116564,C1 LOT 6  KS2 G4toG6 ,13214,
116565,C1 LOT 6  KS2 G4toG6 ,13215,
116568,C1 LOT 6  KS2 G4toG6 ,13216,
116571,C1 LOT 6  KS2 G4toG6 ,13217,
116574,C1 LOT 6  KS2 G4toG6 ,13218,
116577,C1 LOT 6  KS2 G4toG6 ,13219,
116588,C1 LOT 6  KS2 G4toG6 ,13220,
116593,C1 LOT 6  KS2 G4toG6 ,13221,
116594,C1 LOT 6  KS2 G4toG6 ,13222,
116598,C1 LOT 6  KS2 G4toG6 ,13223,
116599,C1 LOT 6  KS2 G4toG6 ,13224,
116609,C1 LOT 6  KS2 G4toG6 ,13225,
116617,C1 LOT 6  KS2 G4toG6 ,13226,
116624,C1 LOT 6  KS2 G4toG6 ,13227,
116625,C1 LOT 6  KS2 G4toG6 ,13228,
116628,C1 LOT 6  KS2 G4toG6 ,13229,
116629,C1 LOT 6  KS2 G4toG6 ,13231,
116632,C1 LOT 6  KS2 G4toG6 ,13232,
116634,C1 LOT 6  KS2 G4toG6 ,13233,
116635,C1 LOT 6  KS2 G4toG6 ,13234,
116637,C1 LOT 6  KS2 G4toG6 ,13235,
116639,C1 LOT 6  KS2 G4toG6 ,13236,
116640,C1 LOT 6  KS2 G4toG6 ,13237,
116644,C1 LOT 6  KS2 G4toG6 ,13238,
116646,C1 LOT 6  KS2 G4toG6 ,13239,
116647,C1 LOT 6  KS2 G4toG6 ,13240,
116649,C1 LOT 6  KS2 G4toG6 ,13241,
116650,C1 LOT 6  KS2 G4toG6 ,13242,
116651,C1 LOT 6  KS2 G4toG6 ,13243,
116658,C1 LOT 6  KS2 G4toG6 ,13244,
116659,C1 LOT 6  KS2 G4toG6 ,13245,
116660,C1 LOT 6  KS2 G4toG6 ,13246,
116661,C1 LOT 6  KS2 G4toG6 ,13247,
116664,C1 LOT 6  KS2 G4toG6 ,13248,
116665,C1 LOT 6  KS2 G4toG6 ,13249,
116668,C1 LOT 6  KS2 G4toG6 ,13250,
116669,C1 LOT 6  KS2 G4toG6 ,13251,
116670,C1 LOT 6  KS2 G4toG6 ,13252,
116680,C1 LOT 6  KS2 G4toG6 ,13253,
116681,C1 LOT 6  KS2 G4toG6 ,13254,
116683,C1 LOT 6  KS2 G4toG6 ,13255,
116686,C1 LOT 6  KS2 G4toG6 ,13256,
116687,C1 LOT 6  KS2 G4toG6 ,13257,
116689,C1 LOT 6  KS2 G4toG6 ,13258,
